"Id","String"
"test","test"
"population_allocation_assign_all","[미정] 모두 배치"
"population_allocation_unassign_all","[미정] 모두 회수"
"building_window_assign_one","[미정] +1 배치"
"building_window_unassign_one","[미정] -1 회수"
"building_window_close","[미정] 닫기"
"building_window_population_label","[미정] 인구"
"building_window_available_population_label","[미정] 가용 인구"
"building_window_operation_label","[미정] 가동"
"building_window_operation_on_format","[미정] 가동 중 ({0}%)"
"building_window_operation_off","[미정] 정지"
"building_window_research_label","[미정] 연구 포인트"
"building_window_night_locked","[미정] 밤에는 인구를 변경할 수 없습니다"
"tower_sample","[미정] 기본 타워"
"LoggingCamp","[미정] 벌목장"
"Quarry","[미정] 채석장"
"FarmField","[미정] 농장"
"SlimeFarm","[미정] 슬라임 농장"
"research_lab_name","[미정] 연구소"
"research_node_grass_cultivation_name","[미정] 초원 경작"
"research_node_grass_cultivation_description","[미정] 농장·광산 생산량 +10%"
"research_node_tower_damage",""
"research_node_tower_damage_description","[미정] 전 타워 공격력 +10%"
"research_rp_amount","연구 포인트: {0}"
"research_population_amount","연구 인구: {0}/{1}"
"research_rp_cost","RP {0}"
"research_resource_cost","{0} {1}"
"research_unknown_resource","[미정] 자원"
"research_branch_empty",""
"research_state_completed","완료"
"research_state_day_only","낮에만 가능"
"research_state_tier_locked","티어 잠김"
"research_state_prerequisite_locked","선행 필요"
"research_state_insufficient_rp","RP 부족"
"research_state_insufficient_resources","자원 부족"
"research_state_available","연구 가능"
"research_state_invalid","이용 불가"
"resource_name_food","식량"
"resource_name_wood","통나무"
"resource_name_stone","돌"
"resource_name_grass_slime","초원 슬라임"
"resource_name_rock_slime","암석 슬라임"
"resource_name_volcano_slime","용암 슬라임"
"resource_name_desert_slime","사막 슬라임"
"resource_name_snow_slime","설원 슬라임"
"dragon_gate_kin_owned_ice","[미정] 잠김: 얼음 새끼용을 보유해야 합니다"
"dragon_gate_kin_owned_fire","[미정] 잠김: 불 새끼용을 보유해야 합니다"
"dragon_gate_kin_owned_time","[미정] 잠김: 시간 새끼용을 보유해야 합니다"
"dragon_gate_kin_owned_stone","[미정] 잠김: 암석 새끼용을 보유해야 합니다"
"dragon_gate_kin_owned_life","[미정] 잠김: 생명 새끼용을 보유해야 합니다"
"dragon_gate_kin_count_enhance","[미정] 잠김: 새끼용 노드 {0}개 해금 필요"
"dragon_gate_kin_count_ultimate","[미정] 잠김: 새끼용 노드 {0}개 해금 필요"
"dragon_node_ice_awaken_name","[미정] 얼음 각성"
"dragon_node_ice_awaken_desc","[미정] 패시브(활성 시): 타워 기본공격에 슬로우 부여"
"dragon_node_ice_active_name","[미정] 얼음 액티브 I"
"dragon_node_ice_active_desc","[미정] 액티브 스킬: 모든 적 빙결"
"dragon_node_ice_enhance_name","[미정] 얼음 강화"
"dragon_node_ice_enhance_desc","[미정] 위 패시브·액티브 수치를 강화합니다."
"dragon_node_ice_ultimate_name","[미정] 얼음 궁극"
"dragon_node_ice_ultimate_desc","[미정] 이 속성의 최종 강화입니다."
"dragon_node_ice_kin_tower_name","[미정] 얼음 새끼용 타워"
"dragon_node_ice_kin_tower_desc","[미정] 슬로우 타워"
